Pan troglodytes,chimpanzee,9598
Homo sapiens,human,9606
Mandrillus leucophaeus,drill,9568
Macaca nemestrina,pig-tailed macaque,9545
Hylobates moloch,silvery gibbon,81572
Nomascus leucogenys,northern white-cheeked gibbon,61853
synthetic construct,NA,32630
Macaca fascicularis,crab-eating macaque,9541
Cercocebus atys,sooty mangabey,9531
Macaca mulatta,Rhesus monkey,9544
Theropithecus gelada,gelada,9565
Microcebus murinus,gray mouse lemur,30608
Propithecus coquereli,Coquerel's sifaka,379532
Gorilla gorilla gorilla,western lowland gorilla,9595
Pongo abelii,Sumatran orangutan,9601
Chlorocebus sabaeus,green monkey,60711
Callithrix jacchus,white-tufted-ear marmoset,9483
Cebus imitator,Panamanian white-faced capuchin,2715852
Sapajus apella,Tufted capuchin,9515
Marmota monax,woodchuck,9995
Urocitellus parryii,Arctic ground squirrel,9999
Dipodomys ordii,Ord's kangaroo rat,10020
Marmota marmota marmota,Alpine marmot,9994
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,43179
Aotus nancymaae,Ma's night monkey,37293
Carlito syrichta,Philippine tarsier,1868482
Marmota flaviventris,yellow-bellied marmot,93162
Pteropus alecto,black flying fox,9402
Hyaena hyaena,striped hyena,95912
Pteropus vampyrus,large flying fox,132908
Ovis aries,sheep,9940
Tupaia chinensis,Chinese tree shrew,246437
Colobus angolensis palliatus,NA,336983
Bubalus bubalis,water buffalo,89462
Bos indicus,zebu cattle,9915
Bos mutus,wild yak,72004
Ailuropoda melanoleuca,giant panda,9646
Ursus arctos horribilis,NA,116960
Heterocephalus glaber,naked mole-rat,10181
Bos taurus,cattle,9913
Bison bison bison,NA,43346
Ursus maritimus,polar bear,29073
Capra hircus,goat,9925
Enhydra lutris kenyoni,NA,391180
Lontra canadensis,Northern American river otter,76717
Castor canadensis,American beaver,51338
Odocoileus virginianus texanus,NA,9880
Otolemur garnettii,small-eared galago,30611
Odobenus rosmarus divergens,Pacific walrus,9708
Callorhinus ursinus,northern fur seal,34884
Phoca vitulina,harbor seal,9720
Lynx pardinus,Spanish lynx,191816
Balaenoptera acutorostrata scammoni,NA,310752
Saimiri boliviensis boliviensis,Bolivian squirrel monkey,39432
Lipotes vexillifer,Yangtze River dolphin,118797
Acinonyx jubatus,cheetah,32536
Lynx canadensis,Canada lynx,61383
Felis catus,domestic cat,9685
Mesocricetus auratus,golden hamster,10036
Orcinus orca,killer whale,9733
Fukomys damarensis,Damara mole-rat,885580
Piliocolobus tephrosceles,Ugandan red Colobus,591936
Muntiacus muntjak,muntjak,9888
Myotis brandtii,Brandt's bat,109478
Leptonychotes weddellii,Weddell seal,9713
Muntiacus reevesi,Reeves' muntjac,9886
Mirounga leonina,Southern elephant seal,9715
Mustela putorius furo,domestic ferret,9669
Myotis myotis,NA,51298
Crocuta crocuta,spotted hyena,9678
Myotis davidii,NA,225400
Puma concolor,puma,9696
Rhinopithecus bieti,black snub-nosed monkey,61621
Mustela erminea,ermine,36723
Neomonachus schauinslandi,Hawaiian monk seal,29088
Rhinopithecus roxellana,golden snub-nosed monkey,61622
Canis lupus familiaris,dog,9615
Canis lupus dingo,dingo,286419
Rhinolophus ferrumequinum,greater horseshoe bat,59479
Oryctolagus cuniculus,rabbit,9986
Phocoena sinus,vaquita,42100
Mus caroli,Ryukyu mouse,10089
Mus pahari,shrew mouse,10093
Mus musculus,house mouse,10090
Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,1706337
Equus asinus,ass,9793
Orycteropus afer afer,NA,1230840
Panthera tigris altaica,Amur tiger,74533
Chinchilla lanigera,long-tailed chinchilla,34839
Desmodus rotundus,common vampire bat,9430
Delphinapterus leucas,beluga whale,9749
Trachypithecus francoisi,Francois's langur,54180
Suricata suricatta,meerkat,37032
Globicephala melas,long-finned pilot whale,9731
Cricetulus griseus,Chinese hamster,10029
Cavia porcellus,domestic guinea pig,10141
Vulpes vulpes,red fox,9627
Rousettus aegyptiacus,Egyptian rousette,9407
Equus caballus,horse,9796
Hipposideros armiger,great roundleaf bat,186990
Monodon monoceros,narwhal,40151
Artibeus jamaicensis,Jamaican fruit-eating bat,9417
Miniopterus natalensis,NA,291302
Mastomys coucha,southern multimammate mouse,35658
Lagenorhynchus obliquidens,Pacific white-sided dolphin,90247
Sousa chinensis,Indo-pacific humpbacked dolphin,103600
Sus scrofa,pig,9823
Onychomys torridus,southern grasshopper mouse,38674
Eptesicus fuscus,big brown bat,29078
Octodon degus,degu,10160
Physeter catodon,sperm whale,9755
Sturnira hondurensis,NA,192404
Peromyscus maniculatus bairdii,prairie deer mouse,230844
Peromyscus leucopus,white-footed mouse,10041
Condylura cristata,star-nosed mole,143302
Loxodonta africana,African savanna elephant,9785
Ceratotherium simum simum,southern white rhinoceros,73337
Choloepus didactylus,southern two-toed sloth,27675
Galeopterus variegatus,Sunda flying lemur,482537
Sorex araneus,European shrew,42254
Phyllostomus discolor,pale spear-nosed bat,89673
Equus przewalskii,Przewalski's horse,9798
Jaculus jaculus,lesser Egyptian jerboa,51337
Manis pentadactyla,Chinese pangolin,143292
Pipistrellus kuhlii,Kuhl's pipistrelle,59472
Manis javanica,Malayan pangolin,9974
Arvicanthis niloticus,African grass rat,61156
Talpa occidentalis,Iberian mole,50954
Grammomys surdaster,NA,491861
Myotis lucifugus,little brown bat,59463
Trichechus manatus latirostris,Florida manatee,127582
Microtus ochrogaster,prairie vole,79684
Meriones unguiculatus,Mongolian gerbil,10047
Arvicola amphibius,Eurasian water vole,1047088
Chrysochloris asiatica,Cape golden mole,185453
Molossus molossus,Pallas's mastiff bat,27622
Nannospalax galili,Upper Galilee mountains blind mole rat,1026970
Dasypus novemcinctus,nine-banded armadillo,9361
Rattus rattus,black rat,10117
Rattus norvegicus,Norway rat,10116
Echinops telfairi,small Madagascar hedgehog,9371
Elephantulus edwardii,Cape elephant shrew,28737
Ochotona princeps,American pika,9978
Pan paniscus,pygmy chimpanzee,9597
Camelus dromedarius,Arabian camel,9838
Camelus ferus,Wild Bactrian camel,419612
Vicugna pacos,alpaca,30538
Camelus bactrianus,Bactrian camel,9837
Erinaceus europaeus,western European hedgehog,9365
Neotoma lepida,desert woodrat,56216
Trichosurus vulpecula,common brushtail,9337
Vombatus ursinus,common wombat,29139
Sarcophilus harrisii,Tasmanian devil,9305
Phascolarctos cinereus,koala,38626
Monodelphis domestica,gray short-tailed opossum,13616
Cervus elaphus hippelaphus,NA,46360
Tachyglossus aculeatus,Australian echidna,9261
Ornithorhynchus anatinus,platypus,9258
Cervus hanglu yarkandensis,Yarkand deer,84702
Mesitornis unicolor,brown roatelo,54374
Merops nubicus,carmine bee-eater,57421
Phaethon lepturus,White-tailed tropicbird,97097
Amazona aestiva,blue-fronted amazon,12930
Chelonia mydas,Green sea turtle,8469
Acanthisitta chloris,rifleman,57068
Fulmarus glacialis,Northern fulmar,30455
Tinamus guttatus,white-throated tinamou,94827
Anser cygnoides domesticus,NA,381198
Cygnus atratus,black swan,8868
Anthoscopus minutus,NA,156561
Apteryx mantelli mantelli,NA,202946
Semnornis frantzii,NA,91796
Pomatostomus ruficeps,chestnut-crowned babbler,9176
Dromaius novaehollandiae,emu,8790
Struthio camelus australis,NA,441894
Pterocles gutturalis,yellow-throated sandgrouse,240206
Rhinopomastus cyanomelas,common scimitar-bill,113115
Apaloderma vittatum,bar-tailed trogon,57397
Platysternon megacephalum,big-headed turtle,55544
Trachemys scripta elegans,NA,31138
Chaetura pelagica,chimney swift,8897
Dryoscopus gambensis,NA,85069
Limosa lapponica baueri,NA,1758121
Cuculus canorus,common cuckoo,55661
Chrysemys picta bellii,western painted turtle,8478
Balearica regulorum gibbericeps,East African grey crowned-crane,100784
Anas platyrhynchos,mallard,8839
Chloroceryle aenea,American pygmy kingfisher,176938
Neopelma chrysocephalum,saffron-crested tyrant-manakin,114329
Oxyura jamaicensis,ruddy duck,8884
Aythya fuligula,tufted duck,219594
Myiagra hebetior,NA,381031
Apteryx rowi,Okarito brown kiwi,308060
Prunella fulvescens,Brown accentor,670355
Erythrura gouldiae,Gouldian finch,44316
Melospiza melodia maxima,NA,2498840
Gopherus evgoodei,Goodes thornscrub tortoise,1825980
Buceros rhinoceros silvestris,NA,175836
Zapornia atra,NA,2585822
Chelonoidis abingdonii,Abingdon island giant tortoise,106734
Corvus moneduloides,New Caledonian crow,1196302
Podiceps cristatus,great crested grebe,345573
Cariama cristata,Red-legged seriema,54380
Eubucco bourcierii,red-headed barbet,91767
Haliaeetus leucocephalus,bald eagle,52644
Dyaphorophyia castanea,NA,1160851
Rhinoptilus africanus,double-banded courser,240209
Dermochelys coriacea,leatherback sea turtle,27794
Aptenodytes forsteri,emperor penguin,9233
Eurypyga helias,sunbittern,54383
Coturnix japonica,Japanese quail,93934
Furnarius figulus,NA,463165
Corvus brachyrhynchos,American crow,85066
Lanius ludovicianus,NA,28713
Daphoenositta chrysoptera,varied sittella,254528
Chroicocephalus maculipennis,brown-hooded gull,287016
Scytalopus superciliaris,NA,312124
Sagittarius serpentarius,NA,56258
Grallaria varia,variegated antpitta,117165
Rynchops niger,black skimmer,227184
Calypte anna,Anna's hummingbird,9244
Aegotheles bennettii,NA,48278
Leucopsar rothschildi,NA,127929
Jacana jacana,wattled jacana,54508
Panurus biarmicus,NA,181101
Sapayoa aenigma,broad-billed sapayoa,239371
Columba livia,rock pigeon,8932
Serilophus lunatus,silver-breasted broadbill,239386
Pygoscelis adeliae,Adelie penguin,9238
Amazona guildingii,NA,175529
Tauraco erythrolophus,red-crested turaco,121530
Athene cunicularia,burrowing owl,194338
Hydrobates tethys,Wedge-rumped storm-petrel,79633
Rhipidura dahli,NA,667186
Thinocorus orbignyianus,NA,161742
Strigops habroptila,Kakapo,2489341
Serinus canaria,Common canary,9135
Melopsittacus undulatus,budgerigar,13146
Gavia stellata,red-throated loon,37040
Nestor notabilis,Kea,176057
Certhia brachydactyla,short-toed tree-creeper,73330
Eulacestoma nigropectus,wattled ploughbill,461239
Leptosomus discolor,cuckoo roller,188344
Thalassarche chlororhynchos,Atlantic yellow-nosed albatross,54017
Dicrurus megarhynchus,NA,450177
Cathartes aura,turkey vulture,43455
Picoides pubescens,Downy woodpecker,118200
Aramus guarauna,limpkin,54356
Probosciger aterrimus,palm cockatoo,141839
Cettia cetti,NA,68486
Molothrus ater,NA,84834
Atrichornis clamosus,NA,449594
Numida meleagris,helmeted guineafowl,8996
Calidris pugnax,ruff,198806
Setophaga kirtlandii,Kirtland's warbler,298831
Charadrius vociferus,killdeer,50402
Empidonax traillii,willow flycatcher,164674
Opisthocomus hoazin,NA,30419
Nyctiprogne leucopyga,NA,382315
Anseranas semipalmata,magpie goose,8851
Tyto alba alba,NA,507980
Ciconia maguari,NA,52777
Phalacrocorax carbo,great cormorant,9209
Piprites chloris,white-winged piprites,114369
Vidua macroura,NA,187451
Ficedula albicollis,Collared flycatcher,59894
Oxyruncus cristatus,sharpbill,114331
Pitta sordida,hooded pitta,9163
Pardalotus punctatus,spotted pardalote,254575
Machaerirhynchus nigripectus,NA,1160894
Rhynochetos jubatus,kagu,54386
Psophia crepitans,common trumpeter,54359
Peucedramus taeniatus,olive warbler,135441
Nyctibius grandis,NA,48427
Quiscalus mexicanus,Great-tailed grackle,64278
Aptenodytes patagonicus,king penguin,9234
Zonotrichia albicollis,white-throated sparrow,44394
Aquila chrysaetos chrysaetos,NA,223781
Rhagologus leucostigma,NA,156170
Chauna torquata,southern screamer,30388
Pelecanus crispus,Dalmatian pelican,36300
Oriolus oriolus,Eurasian golden-oriole,181099
Ifrita kowaldi,blue-capped ifrita,461245
Dasyornis broadbenti,rufous bristle-bird,243059
Buphagus erythrorhynchus,red-billed oxpecker,245048
Ploceus nigricollis,NA,441696
Dromas ardeola,NA,458190
Patagioenas fasciata monilis,NA,372326
Balaeniceps rex,shoebill,33584
Camarhynchus parvulus,NA,87175
Heliornis fulica,sungrebe,54369
Struthidea cinerea,NA,181839
Calonectris borealis,Cory's shearwater,1323832
Gallus gallus,chicken,9031
Cephalopterus ornatus,amazonian umbrellabird,114276
Baryphthengus martii,NA,176943
Mohoua ochrocephala,NA,874463
Urocynchramus pylzowi,NA,571890
Glareola pratincola,NA,43316
Larus smithsonianus,American herring gull,243888
Pteruthius melanotis,NA,357074
Piaya cayana,squirrel cuckoo,33601
Cepphus grylle,NA,28697
Colinus virginianus,northern bobwhite,9014
Stercorarius parasiticus,NA,54059
Eudyptula minor,Little blue penguin,37083
Rissa tridactyla,black-legged kittiwake,75485
Spheniscus mendiculus,Galapagos penguin,156760
Smithornis capensis,NA,363769
Penelope pileata,NA,1118817
Pygoscelis antarcticus,chinstrap penguin,79643
Origma solitaria,NA,720586
Phoenicopterus ruber ruber,NA,9218
Rhegmatorhina hoffmannsi,white-breasted antbird,468512
Chloropsis cyanopogon,NA,1218682
Catharus fuscescens,veery,159581
Parus major,Great Tit,9157
Mystacornis crossleyi,NA,98133
Cardinalis cardinalis,northern cardinal,98964
Rhabdornis inornatus,NA,237438
Sturnus vulgaris,Common starling,9172
Egretta garzetta,little egret,188379
Zosterops borbonicus,NA,364589
Cnemophilus loriae,Loria's bird-of-paradise,254448
Aleadryas rufinucha,rufous-naped whistler,461220
Aphelocoma coerulescens,scrub jay,39617
Certhia familiaris,Eurasian tree-creeper,73333
Climacteris rufus,rufous treecreeper,47695
Halcyon senegalensis,NA,342381
Meleagris gallopavo,turkey,9103
Trogon melanurus,black-tailed trogon,56311
Podilymbus podiceps,NA,9252
Pandion haliaetus,NA,56262
Caloenas nicobarica,Nicobar pigeon,187106
Notiomystis cincta,NA,366454
Turdus rufiventris,rufous-bellied thrush,311356
Spizaetus tyrannus,black hawk-eagle,252798
Nothocercus nigrocapillus,NA,1977171
Bucorvus abyssinicus,Abyssinian ground-hornbill,153643
Himantopus himantopus,black-winged stilt,225398
Oceanites oceanicus,Wilson's storm-petrel,79653
Fregetta grallaria,white-bellied storm-petrel,79628
Lonchura striata domestica,Bengalese finch,299123
Loxia leucoptera,NA,96539
Alligator mississippiensis,American alligator,8496
Melanocharis versteri,Fan-tailed berrypecker,254552
Gymnorhina tibicen,Australian magpie,9132
Thryothorus ludovicianus,Carolina wren,74200
Neopipo cinnamomea,NA,456388
Fregata magnificens,NA,37042
Rhodinocichla rosea,NA,58203
Hippolais icterina,icterine warbler,68497
Sula dactylatra,NA,56068
Orthonyx spaldingii,northern chowchilla,38397
Menura novaehollandiae,superb lyrebird,47692
Onychorhynchus coronatus,NA,360224
Bombycilla garrulus,NA,125297
Falcunculus frontatus,Eastern shriketit,254539
Malurus elegans,Red-winged fairywren,720584
Pachyramphus minor,NA,369605
Motacilla alba,white wagtail,45807
Taeniopygia guttata,zebra finch,59729
Nothoprocta pentlandii,NA,2585814
Circaetus pectoralis,black-chested snake-eagle,321084
Picathartes gymnocephalus,NA,175131
Ardeotis kori,NA,89386
Eudyptula novaehollandiae,Australian little penguin,2052820
Pycnonotus jocosus,red-whiskered bulbul,182897
Chaetorhynchus papuensis,pygmy drongo,254446
Nothoprocta ornata,NA,83376
Geospiza fortis,medium ground-finch,48883
Chaetops frenatus,Rufous rock-jumper,221966
Spheniscus magellanicus,Magellanic penguin,37081
Pelecanoides urinatrix,NA,37079
Spheniscus humboldti,Humboldt's penguin,9240
Ptilorrhoa leucosticta,NA,449384
Poecile atricapillus,Black-capped chickadee,48891
Haliaeetus albicilla,white-tailed eagle,8969
Sylvia borin,garden warbler,73324
Urocolius indicus,NA,458196
Nyctibius bracteatus,Rufous potoo,48426
Lophotis ruficrista,NA,172689
Alligator sinensis,Chinese alligator,38654
Eudyptes schlegeli,Royal penguin,57240
Uria aalge,common murre,13746
Lepidothrix coronata,blue-crowned manakin,321398
Nycticryphes semicollaris,NA,227226
Pelodiscus sinensis,Chinese soft-shelled turtle,13735
Crotophaga sulcirostris,groove-billed ani,33598
Polioptila caerulea,NA,66707
Vidua chalybeata,NA,81927
Rhadina sibilatrix,NA,2585818
Aegithalos caudatus,Northern long-tailed tit,73327
Drymodes brunneopygia,NA,626378
Pygoscelis papua,Gentoo penguin,30457
Alectura lathami,australian brush-turkey,81907
Oreotrochilus melanogaster,NA,689266
Lamprotornis superbus,NA,245042
Nipponia nippon,crested ibis,128390
Casuarius casuarius,southern cassowary,8787
Spizella passerina,chipping sparrow,40210
Hirundo rustica rustica,NA,333673
Corythaixoides concolor,grey go-away-bird,103956
Oreocharis arfaki,tit berrypecker,979223
Agelaius phoeniceus,red-winged blackbird,39638
Ramphastos sulfuratus,NA,322582
Copsychus sechellarum,NA,797021
Gavialis gangeticus,Gharial,94835
Pheucticus melanocephalus,NA,371919
Manacus vitellinus,golden-collared manakin,328815
Erythrocercus mccallii,NA,107208
Nothocercus julius,NA,2585813
Crocodylus porosus,Australian saltwater crocodile,8502
Herpetotheres cachinnans,NA,56343
Chiroxiphia lanceolata,lance-tailed manakin,296741
Cisticola juncidis,NA,52622
Alopecoenas beccarii,Western bronze ground-dove,262131
Hylia prasina,green hylia,208073
Nothoprocta perdicaria,NA,30464
Mionectes macconnelli,McConnell's flycatcher,254557
Edolisoma coerulescens,NA,2585810
Oenanthe oenanthe,Northern wheatear,279966
Sakesphorus luctuosus,NA,419690
Columbina picui,picui ground-dove,115618
Galbula dea,NA,1109041
Nesospiza acunhae,NA,381881
Cercotrichas coryphoeus,Karoo scrub-robin,614051
Cinclus mexicanus,NA,161649
Callaeas wilsoni,North Island kokako,1347786
Vireo altiloquus,black-whiskered vireo,34956
Loxia curvirostra,NA,64802
Crypturellus soui,NA,458187
Crypturellus undulatus,NA,48396
Centropus unirufus,NA,1118519
Calcarius ornatus,NA,198940
Terrapene carolina triunguis,Three-toed box turtle,2587831
Podargus strigoides,tawny frogmouth,8905
Asarcornis scutulata,NA,75869
Chunga burmeisteri,Black-legged seriema,1352770
Formicarius rufipectus,NA,1118560
Upupa epops,Eurasian hoopoe,57439
Irena cyanogastra,fairy bluebird,175120
Python bivittatus,Burmese python,176946
Phasianus colchicus,Ring-necked pheasant,9054
Acrocephalus arundinaceus,great reed warbler,39621
Anhinga anhinga,American anhinga,56067
Mesembrinibis cayennensis,NA,1118748
Erithacus rubecula,European robin,37610
Paradoxornis webbianus,NA,337173
Pluvianellus socialis,magellanic plover,227228
Indicator maculatus,spotted honeyguide,545262
Alcedo cyanopectus,Indigo-banded kingfisher,390723
Alaudala cheleensis,Asian short-toed lark,670337
Zosterops hypoxanthus,NA,2485327
Tricholaema leucomelas,pied barbet,240729
Promerops cafer,Cape sugarbird,254652
Sterrhoptilus dennistouni,NA,2585820
Sylvia atricapilla,blackcap,48155
Melospiza melodia,song sparrow,44397
Locustella ochotensis,Middendorff's grasshopper-warbler,187437
Leptocoma aspasia,NA,2585812
Turnix velox,Little buttonquail,2529409
Leiothrix lutea,red-billed leiothrix,36275
Eudromia elegans,elegant crested-tinamou,8805
Gekko japonicus,NA,146911
Cochlearius cochlearius,boat-billed heron,110676
Passerina amoena,NA,142471
Phainopepla nitens,NA,161653
Prunella himalayana,NA,670356
Sylvietta virens,Green crombec,208069
Hirundo rustica,Barn swallow,43150
Donacobius atricapilla,NA,237420
